tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
12.9,-0.0365274,0.056712,2.21049,0.0366045,-0.00598034,0.00615471,-0.0809347,0.175242
12.95,-0.0353196,0.056802,2.21057,0.0366945,-0.00590408,0.00617946,-0.0775937,0.1755
13,-0.0340202,0.0568852,2.21065,0.0367759,-0.00582677,0.0061925,-0.0740708,0.175726
13.05,-0.0326425,0.0569622,2.21074,0.0368484,-0.00573718,0.00619253,-0.0703858,0.175923
13.1,-0.0312004,0.0570334,2.21085,0.0369118,-0.00562358,0.00618003,-0.0665666,0.176092
13.15,-0.0297083,0.0570996,2.21099,0.0369667,-0.00547943,0.00615617,-0.0626478,0.176231
13.2,-0.0281801,0.0571614,2.21118,0.0370132,-0.00529681,0.0061231,-0.0586515,0.176341
13.25,-0.0266298,0.0572194,2.2114,0.0370515,-0.00507307,0.006083,-0.0546068,0.176424
13.3,-0.0250703,0.0572739,2.21166,0.0370825,-0.0048086,0.00603873,-0.0505387,0.176477
13.35,-0.023514,0.0573256,2.21197,0.0371064,-0.00450407,0.00599318,-0.0464794,0.176503
13.4,-0.0219722,0.0573747,2.21231,0.0371235,-0.00416636,0.00594887,-0.0424576,0.176503
13.45,-0.0204545,0.0574215,2.21267,0.0371349,-0.00379876,0.00590915,-0.0384956,0.17648
13.5,-0.0189693,0.0574662,2.21307,0.0371403,-0.00340553,0.00587605,-0.034613,0.176438
13.55,-0.0175238,0.0575086,2.21347,0.0371405,-0.00299762,0.00585214,-0.0308232,0.17638
13.6,-0.0161227,0.0575488,2.21389,0.0371358,-0.0025866,0.00583878,-0.0271266,0.17631
13.65,-0.0147698,0.0575865,2.21429,0.0371265,-0.00217769,0.0058362,-0.0235329,0.176229
13.7,-0.0134674,0.057621,2.21469,0.0371124,-0.00177928,0.00584336,-0.0200362,0.176136
