source,trial,sep
mc,13,0.129198
mc,13,0.238757
mc,13,0.729357
mc,13,3.77393
mc,13,0.498279
mc,13,0.123246
mc,13,1.99327
mc,13,0.0873567
mc,13,0.269881
mc,13,0.219622
mc,13,3.52537
mc,13,0.149645
mc,13,0.115665
mc,13,1.0245
mc,13,6.62877
mc,13,3.85759
mc,14,0.241372
mc,14,6.63405
mc,14,2.27111
mc,14,6.82446
mc,14,0.039218
mc,14,3.38698
mc,14,0.272989
mc,14,2.58896
mc,14,2.23728
mc,14,0.261365
mc,14,5.01023
mc,14,0.0297447
mc,14,0.492709
mc,14,1.99908
mc,14,0.388029
mc,14,2.55155
mc,14,0.479185
mc,14,4.29169
mc,15,4.27491
mc,15,0.139515
mc,15,7.31567
mc,15,7.10923
mc,15,2.21167
mc,15,0.91092
mc,15,1.94864
mc,15,7.98252
mc,15,0.326703
mc,15,0.0810776
mc,15,4.89143
mc,15,2.80771
mc,16,0.540524
mc,16,0.252389
mc,16,0.238719
mc,16,0.259466
mc,16,0.0125224
mc,16,0.0412345
mc,16,5.1297
mc,16,1.74825
mc,16,2.26426
mc,16,1.70774
mc,16,0.53791
mc,16,2.5761
mc,16,0.304674
mc,16,1.75271
mc,16,0.101596
mc,16,0.78271
mc,16,0.107602
mc,16,0.125698
mc,16,0.631809
mc,16,5.63956
mc,16,0.348705
mc,16,0.400236
mc,16,0.281036
mc,16,1.7857
mc,16,0.367529
mc,16,0.48699
mc,16,0.765001
mc,16,0.00386728
mc,16,1.336
mc,16,0.173144
mc,16,0.107342
mc,16,0.0660692
mc,16,0.0281155
mc,16,6.58407
mc,16,2.35283
mc,16,0.158202
mc,17,0.617682
mc,17,0.0704925
mc,17,0.891085
mc,17,3.17463
mc,17,0.0821926
mc,17,0.162877
mc,17,0.120312
mc,17,0.478862
mc,17,0.0174276
mc,17,3.74068
mc,17,0.0344418
mc,17,3.54662
mc,17,0.120571
mc,17,2.37676
mc,17,1.88989
mc,17,0.164764
mc,17,0.19421
mc,17,1.93223
mc,17,1.10538
mc,17,1.84641
mc,17,0.0916341
mc,17,3.27084
mc,17,0.516331
mc,17,2.82652
mc,17,2.19716
mc,17,0.17635
mc,17,0.146913
mc,17,0.338059
mc,17,0.0380579
mc,17,1.68003
mc,17,0.0229462
mc,17,1.11626
mc,17,0.0595278
mc,17,0.217522
mc,17,0.842874
mc,17,3.89145
mc,18,0.0588014
mc,18,0.157558
mc,18,3.986
mc,18,8.10957
mc,18,7.00333
mc,18,1.51918
mc,18,9.84149
mc,18,0.621277
mc,18,1.02418
mc,18,7.67862
mc,19,1.84082
mc,19,3.4263
mc,19,0.578134
mc,19,0.588224
mc,19,0.133675
mc,19,10.3632
mc,19,0.647846
mc,19,0.0174589
mc,19,0.394921
mc,19,8.13175
mc,19,0.438524
mc,19,0.0321485
mc,19,0.086762
mc,19,0.0142457
mc,19,2.28316
mc,19,0.189482
mc,19,3.51496
mc,19,1.27481
mc,19,1.87575
mc,19,4.16786
mc,20,2.7049
mc,20,0.231571
mc,20,2.24107
mc,20,2.19774
mc,20,0.107379
mc,20,3.14633
mc,20,3.02308
mc,20,2.60201
mc,20,0.716624
mc,20,2.11522
mc,20,0.940918
mc,20,2.90346
mc,20,0.240728
mc,20,1.31014
mc,20,10.523
mc,20,0.481287
mc,20,0.658914
mc,20,3.85561
mc,21,0.11705
mc,21,0.198632
mc,21,2.30505
mc,21,0.0468616
mc,21,0.330616
mc,21,2.35918
mc,21,3.04104
mc,21,1.45652
mc,21,7.76801
mc,21,0.115898
mc,21,5.16322
mc,21,1.24688
mc,21,2.93543
mc,21,12.9156
mc,22,4.46803
mc,22,0.0789119
mc,22,2.21227
mc,22,3.19277
mc,22,0.989157
mc,22,2.74491
mc,22,0.220581
mc,22,1.49479
mc,22,0.947936
mc,22,0.381969
mc,22,0.746223
mc,22,1.00968
mc,22,6.0739
mc,22,1.12456
mc,22,9.95424
mc,22,4.36008
mc,23,0.549558
mc,23,1.00845
mc,23,2.7431
mc,23,0.245471
mc,23,1.50164
mc,23,4.3624
mc,23,2.65894
mc,23,0.332205
mc,23,0.0927021
mc,23,10.4588
mc,23,6.12281
mc,23,1.6184
mc,23,6.50861
mc,23,0.318529
mc,23,0.0436037
mc,23,1.43475
mc,24,1.12635
mc,24,0.310128
mc,24,2.44371
mc,24,1.71964
mc,24,0.0147288
mc,24,0.046168
mc,24,0.179718
mc,24,14.9947
mc,24,1.49343
mc,24,6.15815
mc,24,1.7593
mc,24,1.89158
mc,24,0.0508302
mc,24,4.79123
mc,24,0.0329446
mc,24,1.50303
mc,24,1.29242
mc,24,0.191929
mc,25,0.643572
mc,25,3.61978
mc,25,1.98801
mc,25,0.16017
mc,25,1.10312
mc,25,0.196432
mc,25,2.95474
mc,25,0.122899
mc,25,0.178179
mc,25,1.11034
mc,25,0.134947
mc,25,1.03838
mc,25,4.56903
mc,25,6.97038
mc,25,0.382566
mc,25,14.8275
mc,26,6.37532
mc,26,0.129148
mc,26,1.72842
mc,26,0.176741
mc,26,6.71614
mc,26,1.04673
mc,26,0.801734
mc,26,4.51793
mc,26,0.645214
mc,26,1.88375
mc,26,0.271912
mc,26,0.0306646
mc,26,0.151301
mc,26,2.39612
mc,26,1.53058
mc,26,0.0216023
mc,26,1.3406
mc,26,0.000277533
mc,26,1.14198
mc,26,0.0151991
mc,26,1.36452
mc,26,7.71411
mc,27,1.46304
mc,27,3.00044
mc,27,0.119516
mc,27,0.0623269
mc,27,4.14675
mc,27,0.458855
mc,27,0.187579
mc,27,0.106498
mc,27,5.5793
mc,27,0.225028
mc,27,1.28079
mc,27,0.331362
mc,27,3.78014
mc,27,0.618036
mc,27,0.42224
mc,27,2.71714
mc,27,0.0655348
mc,27,6.94079
mc,27,0.115723
mc,27,8.3789
mc,28,0.000956421
mc,28,5.24809
mc,28,0.004943
mc,28,7.44052
mc,28,3.02737
mc,28,5.98232
