tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
37.85,0.619218,0.0423712,3.31365,0.00316642,0.000750915,0.00319351,2.4073,0.15662
37.9,0.640944,0.0409138,3.31294,0.00307046,3.96536e-05,0.00309461,2.49049,0.151306
37.95,0.66309,0.0394761,3.31218,0.00296825,-0.000716594,0.00298856,2.57526,0.146025
38,0.685779,0.0380168,3.31141,0.00286478,-0.00149124,0.00288025,2.66229,0.140662
38.05,0.708819,0.0365678,3.31064,0.0027649,-0.00225932,0.00277447,2.75076,0.13532
38.1,0.732212,0.0351337,3.3099,0.00267303,-0.00299899,0.00267559,2.84064,0.13
38.15,0.755894,0.0336991,3.30921,0.00259283,-0.00369243,0.00258727,2.93185,0.124691
38.2,0.779967,0.0322935,3.30857,0.00252681,-0.00432627,0.0025121,3.02443,0.119414
38.25,0.80444,0.0309203,3.30801,0.00247604,-0.00489145,0.00245128,3.11834,0.114173
38.3,0.829518,0.0295891,3.30752,0.00243995,-0.00538252,0.00240445,3.21429,0.10901
38.35,0.855011,0.0282905,3.3071,0.00241646,-0.00579661,0.0023697,3.31152,0.103893
38.4,0.880922,0.0270244,3.30677,0.00240224,-0.00613199,0.00234391,3.41003,0.0988384
38.45,0.907633,0.0258024,3.30651,0.00239332,-0.0063866,0.00232321,3.51122,0.0939145
38.5,0.934962,0.0245893,3.30634,0.00238559,-0.00655634,0.00230358,3.61453,0.0890209
38.55,0.962709,0.0234023,3.30626,0.00237529,-0.0066336,0.00228133,3.71922,0.0842432
38.6,0.990868,0.0222401,3.30629,0.0023594,-0.00660577,0.00225344,3.82529,0.0795934
38.65,1.0194,0.0210898,3.30644,0.00233572,-0.00645398,0.00221776,3.93269,0.0750776
38.7,1.04875,0.0199485,3.30675,0.0023029,-0.00615207,0.00217301,4.04279,0.0706514
38.75,1.07853,0.0188336,3.30723,0.00226035,-0.00566565,0.00211869,4.15391,0.066345
38.8,1.10871,0.0177448,3.30795,0.00220799,-0.00495147,0.00205486,4.26582,0.0621601
38.85,1.13949,0.0166682,3.30894,0.0021461,-0.0039569,0.00198195,4.37901,0.0580575
38.9,1.17064,0.0156151,3.31028,0.00207506,-0.00261965,0.00190053,4.49252,0.0540869
38.95,1.20213,0.0145855,3.31203,0.00199532,-0.000867814,0.0018112,4.60611,0.0502636
39,1.23413,0.013577,3.31428,0.00190732,0.00137974,0.00171452,4.72033,0.046645
39.05,1.2664,0.0125877,3.31711,0.00181155,0.0042123,0.00161107,4.83422,0.0431792
39.1,1.29888,0.0116195,3.32062,0.00170868,0.00772538,0.00150154,4.94758,0.0398758
39.15,1.33172,0.0106673,3.32492,0.00159967,0.0120177,0.00138688,5.06096,0.0367256
39.2,1.36465,0.00973738,3.33009,0.00148583,0.0171865,0.00126833,5.17338,0.0337348
39.25,1.3976,0.00883273,3.33622,0.00136886,0.0233214,0.00114749,5.28461,0.0309009
39.3,1.4305,0.00795669,3.34339,0.00125073,0.030496,0.00102624,5.39446,0.0282185
