tau,C1,C1_err,C2conn,C2conn_err,C3,C3_err
13.7,0.0014583,0.0441114,-0.0152832,0.0114493,-0.00223024,0.198106
13.75,0.00117652,0.0439825,-0.0147877,0.011296,0.00245884,0.197194
13.8,0.000679107,0.0438409,-0.0158936,0.0114079,-0.0114415,0.194146
13.85,0.000931121,0.0437906,-0.0166737,0.0113722,-0.00332398,0.192942
13.9,0.00113121,0.0437712,-0.018189,0.0114408,0.00376666,0.191347
13.95,0.00164383,0.0438644,-0.0184124,0.0112841,0.00615111,0.192011
14,0.00162621,0.0439834,-0.019477,0.0113066,0.0034499,0.19209
14.05,0.000768595,0.0441259,-0.0234322,0.0115965,0.0046485,0.192577
14.1,0.00047773,0.0444152,-0.027436,0.0123306,0.00233171,0.194921
14.15,-0.000241689,0.0447495,-0.0301422,0.0134373,-0.00706791,0.198019
14.2,-0.000690148,0.0450387,-0.0327787,0.0142118,0.00283689,0.200745
14.25,-0.0011008,0.0453149,-0.0345903,0.0151592,0.00213496,0.202524
14.3,-0.00105383,0.0455498,-0.0337931,0.0156952,0.0181241,0.203943
14.35,-0.00172759,0.0457133,-0.0358125,0.015706,0.0115853,0.203338
14.4,-0.00172698,0.0459032,-0.0367297,0.0150211,0.0136904,0.203087
14.45,-0.00231662,0.0460692,-0.030859,0.0143262,0.00671167,0.203025
14.5,-0.00367793,0.04633,-0.0235467,0.0140526,-0.000597386,0.207369
14.55,-0.00458281,0.0465349,-0.0169291,0.0131787,-0.000662272,0.212025
14.6,-0.00555896,0.0467753,-0.0152371,0.0124868,0.00109956,0.214472
14.65,-0.00579446,0.0469258,-0.0106815,0.0124569,0.00561401,0.214699
14.7,-0.00634402,0.0469996,-0.0102507,0.0131844,-0.0174441,0.211515
14.75,-0.00682513,0.0470102,-0.0091256,0.0139176,-0.0201491,0.210941
14.8,-0.00747748,0.0469404,-0.00601666,0.0144891,-0.0332078,0.208978
14.85,-0.00822638,0.0468639,-0.00596288,0.0142441,-0.0428757,0.206514
14.9,-0.0084902,0.0466895,-0.006097,0.0137567,-0.0375723,0.202566
14.95,-0.00871465,0.0465421,-0.0102838,0.0134087,-0.0416627,0.199136
15,-0.0084202,0.0464516,-0.0171562,0.0128425,-0.0481487,0.195169
15.05,-0.00740432,0.0464199,-0.0191017,0.0122998,-0.0358362,0.193993
15.1,-0.00686874,0.0464578,-0.0177474,0.0125668,-0.0324435,0.19737
15.15,-0.00570291,0.0464497,-0.0191604,0.0123413,-0.0288599,0.199197
15.2,-0.00476,0.0464673,-0.0216355,0.0125489,-0.0401568,0.200146
15.25,-0.00348393,0.0464726,-0.0209815,0.0124245,-0.0331163,0.200748
15.3,-0.00165835,0.0464487,-0.0254916,0.0124981,-0.0259886,0.200681
15.35,-0.000118868,0.0464312,-0.0254149,0.0124153,-0.0164216,0.200898
15.4,0.00121888,0.0464428,-0.0239652,0.0123073,-0.0096406,0.20352
15.45,0.00246375,0.0465024,-0.0238559,0.0123151,-0.00110248,0.203193
15.5,0.0037059,0.0465975,-0.022216,0.0125474,-0.00490717,0.203113
15.55,0.00456985,0.0467349,-0.0207968,0.0125695,-0.0181884,0.203757
15.6,0.00523871,0.0469216,-0.0182051,0.0129028,-0.0246697,0.206796
15.65,0.00627613,0.0470556,-0.0182682,0.0132116,-0.0150227,0.210154
15.7,0.0067149,0.0470716,-0.0205758,0.0131989,-0.011332,0.210648
15.75,0.00694947,0.0470492,-0.0206738,0.0134176,-0.00994243,0.210187
15.8,0.00714982,0.0470731,-0.0216992,0.0133373,-0.00506932,0.210731
15.85,0.00666335,0.0471649,-0.0200905,0.0128492,-0.0143402,0.209967
15.9,0.00670026,0.0473607,-0.0158134,0.0133374,-0.0238757,0.212281
15.95,0.00689744,0.0475702,-0.0126623,0.0137321,-0.0366892,0.214442
16,0.00683524,0.0477439,-0.0118153,0.0144759,-0.0483239,0.214888
16.05,0.00724453,0.047768,-0.0141802,0.0146462,-0.0691898,0.213021
16.1,0.00837076,0.0477288,-0.0170605,0.0145639,-0.0690381,0.211667
16.15,0.0101018,0.0476608,-0.02015,0.0143304,-0.0591967,0.209062
16.2,0.0116195,0.0477534,-0.0206366,0.0138603,-0.0458699,0.206679
16.25,0.0131415,0.0479143,-0.0213735,0.0124944,-0.0402005,0.206762
16.3,0.0150297,0.0480179,-0.0248493,0.0114398,-0.0263511,0.207711
16.35,0.0168373,0.0481682,-0.027048,0.0110384,-0.00914806,0.209298
16.4,0.0183052,0.0482549,-0.0288404,0.0106865,0.0043074,0.209236
16.45,0.019318,0.0484296,-0.0261938,0.0106315,0.00517401,0.210249
16.5,0.0202622,0.0486394,-0.0263107,0.0104849,0.0194426,0.211218
16.55,0.0208091,0.0490211,-0.0264109,0.0105847,0.0268978,0.214214
16.6,0.0212569,0.0494782,-0.0246357,0.0109102,0.012533,0.216203
16.65,0.022236,0.0499733,-0.0239015,0.0111719,0.0134921,0.218909
16.7,0.0231936,0.0504384,-0.0211763,0.0113685,0.00566761,0.2219
16.75,0.0247653,0.0508431,-0.019134,0.0115527,0.0130857,0.225061
16.8,0.0267231,0.0511614,-0.018721,0.0123568,0.0343412,0.226284
16.85,0.0282173,0.0514594,-0.0184646,0.0127844,0.049805,0.226425
16.9,0.0296653,0.0517722,-0.015388,0.0133198,0.0623699,0.228125
16.95,0.0304109,0.0520015,-0.0169111,0.0134826,0.0653505,0.226967
17,0.0314897,0.0523049,-0.0166341,0.0146235,0.0772641,0.226358
17.05,0.0323862,0.0527073,-0.0161868,0.0146677,0.0857073,0.227453
17.1,0.0333485,0.0531793,-0.0198412,0.0143536,0.107,0.229669
17.15,0.0343903,0.0536489,-0.0154638,0.0138937,0.129049,0.234484
17.2,0.0354042,0.0541505,-0.0126646,0.0131511,0.146395,0.24101
17.25,0.0359437,0.054545,-0.0103019,0.0123447,0.149507,0.245958
17.3,0.0363404,0.0549266,-0.00772441,0.0117057,0.142031,0.248259
17.35,0.0369695,0.0552867,-0.00909807,0.0109818,0.147224,0.249548
17.4,0.0374072,0.0556975,-0.011243,0.0104565,0.137374,0.253252
17.45,0.038397,0.0561389,-0.00945685,0.0105254,0.147696,0.257683
17.5,0.0392298,0.0565616,-0.00639969,0.0109932,0.166358,0.262164
17.55,0.0403421,0.0569901,-0.00400151,0.0113139,0.176489,0.264354
17.6,0.0416008,0.0573318,-0.00428469,0.0115622,0.193331,0.264453
