conf,kind,k,tau
51,1,9,32.5379
51,-1,0,6.7492
51,-1,1,7.55931
51,-1,2,11.6601
51,-1,3,28.8651
51,-1,4,29.8513
51,-1,5,35.3807
51,-1,6,38.3709
51,-1,7,39.7606
52,1,0,0.987048
52,1,1,5.39752
52,1,2,6.42629
52,1,3,12.9566
52,1,4,18.4401
52,1,5,23.6779
52,1,6,26.2298
52,1,7,29.5227
52,1,8,31.7988
52,1,9,32.5379
52,-1,0,6.7492
52,-1,1,7.55931
52,-1,2,11.6601
52,-1,3,28.8651
52,-1,4,29.8513
52,-1,5,35.3807
52,-1,6,38.3709
52,-1,7,39.7606
53,1,0,0.987048
53,1,1,5.39752
53,1,2,6.42629
53,1,3,12.9566
53,1,4,18.4401
53,1,5,23.6779
53,1,6,26.2298
53,1,7,29.5227
53,1,8,31.7988
53,1,9,32.5379
53,-1,0,6.7492
53,-1,1,7.55931
53,-1,2,11.6601
53,-1,3,28.8651
53,-1,4,29.8513
53,-1,5,35.3807
53,-1,6,38.3709
53,-1,7,39.7336
54,1,0,0.987048
54,1,1,5.39752
54,1,2,6.42629
54,1,3,12.9566
54,1,4,18.4401
54,1,5,23.6779
54,1,6,26.2298
54,1,7,29.5227
54,1,8,31.7988
54,1,9,32.5379
54,-1,0,6.7492
54,-1,1,7.55931
54,-1,2,11.6601
54,-1,3,28.8651
54,-1,4,29.8513
54,-1,5,35.3807
54,-1,6,38.3709
54,-1,7,39.7336
55,1,0,0.987048
55,1,1,5.39752
55,1,2,6.42629
55,1,3,12.9566
55,1,4,18.4401
55,1,5,23.6779
55,1,6,26.2298
55,1,7,29.5227
55,1,8,31.7988
55,1,9,32.5379
55,-1,0,6.7492
55,-1,1,7.55931
55,-1,2,11.6601
55,-1,3,28.8651
55,-1,4,29.8513
55,-1,5,35.3807
55,-1,6,38.3709
55,-1,7,39.7336
56,1,0,0.987048
56,1,1,5.39752
56,1,2,6.42629
56,1,3,12.9566
56,1,4,18.4401
56,1,5,23.6779
56,1,6,26.2298
56,1,7,29.5227
56,1,8,31.7988
56,1,9,32.5379
56,-1,0,6.7492
56,-1,1,7.55931
56,-1,2,11.6601
56,-1,3,28.8651
56,-1,4,29.8513
56,-1,5,35.3807
56,-1,6,38.3709
56,-1,7,39.7336
57,1,0,0.987048
57,1,1,5.39752
57,1,2,6.42629
57,1,3,12.9566
57,1,4,18.4401
57,1,5,23.6779
57,1,6,26.2298
57,1,7,29.5227
57,1,8,31.7988
57,1,9,32.5379
57,-1,0,6.7492
57,-1,1,7.55931
57,-1,2,11.6601
57,-1,3,28.8651
57,-1,4,29.8513
57,-1,5,35.3807
57,-1,6,38.3709
57,-1,7,39.7336
58,1,0,0.987048
58,1,1,5.39752
58,1,2,6.42629
58,1,3,12.9566
58,1,4,18.4401
58,1,5,23.6779
58,1,6,26.2298
58,1,7,29.5227
58,1,8,31.7988
58,1,9,32.5379
58,-1,0,6.7492
58,-1,1,7.55931
58,-1,2,11.6601
58,-1,3,28.8651
58,-1,4,29.8513
58,-1,5,35.3807
58,-1,6,38.3709
58,-1,7,39.5836
59,1,0,0.987048
59,1,1,5.40295
59,1,2,6.42629
59,1,3,12.9566
59,1,4,18.4401
59,1,5,23.6779
59,1,6,26.2298
59,1,7,29.5227
59,1,8,31.7988
59,1,9,32.5379
59,-1,0,6.7492
59,-1,1,7.55931
59,-1,2,11.6601
59,-1,3,28.8651
59,-1,4,29.8513
59,-1,5,35.3807
59,-1,6,38.3709
59,-1,7,39.5836
60,1,0,0.987048
60,1,1,5.40295
60,1,2,6.42629
60,1,3,12.9566
60,1,4,18.4401
60,1,5,23.6779
60,1,6,26.2298
60,1,7,29.5227
60,1,8,31.7988
60,1,9,32.5379
60,-1,0,6.7492
60,-1,1,7.55931
60,-1,2,11.6601
60,-1,3,28.8651
60,-1,4,29.8513
60,-1,5,35.3807
60,-1,6,38.3709
60,-1,7,39.5836
61,1,0,0.987048
61,1,1,5.40295
61,1,2,6.42629
61,1,3,12.9566
61,1,4,18.4401
61,1,5,23.6779
61,1,6,26.2298
61,1,7,29.5227
61,1,8,31.7988
61,1,9,32.5379
61,-1,0,6.7492
61,-1,1,7.55931
61,-1,2,11.6601
61,-1,3,28.8651
61,-1,4,29.8513
61,-1,5,35.3807
61,-1,6,38.3709
61,-1,7,39.5836
62,1,0,0.987048
62,1,1,5.40295
62,1,2,6.42629
62,1,3,12.9566
62,1,4,18.4401
62,1,5,23.6779
62,1,6,26.0829
62,1,7,29.5227
62,1,8,31.7988
62,1,9,32.5379
62,-1,0,6.7492
62,-1,1,7.55931
62,-1,2,11.6601
62,-1,3,28.8651
62,-1,4,29.8513
62,-1,5,35.3807
62,-1,6,38.3709
62,-1,7,39.5836
63,1,0,0.987048
63,1,1,5.40295
63,1,2,6.42629
63,1,3,12.9566
63,1,4,18.4401
63,1,5,23.6779
63,1,6,26.0829
63,1,7,29.5227
63,1,8,31.7988
63,1,9,32.5379
63,-1,0,6.7492
63,-1,1,7.55931
63,-1,2,11.6601
63,-1,3,28.8651
63,-1,4,29.8513
63,-1,5,35.3807
63,-1,6,38.3709
63,-1,7,39.5836
64,1,0,1.06567
64,1,1,5.40295
64,1,2,6.42629
64,1,3,12.9566
64,1,4,18.4401
64,1,5,23.6779
64,1,6,26.0829
64,1,7,29.5227
64,1,8,31.7988
64,1,9,32.5379
64,-1,0,6.7492
64,-1,1,7.55931
64,-1,2,11.6601
64,-1,3,28.8651
64,-1,4,29.8513
64,-1,5,35.3807
64,-1,6,38.3709
64,-1,7,39.5836
65,1,0,1.06567
65,1,1,5.40295
65,1,2,6.42629
65,1,3,12.9566
65,1,4,18.2925
65,1,5,23.6779
65,1,6,26.0829
65,1,7,29.5227
65,1,8,31.7988
65,1,9,32.5379
65,-1,0,6.7492
65,-1,1,7.55931
65,-1,2,11.6601
65,-1,3,28.8651
65,-1,4,29.8513
65,-1,5,35.3807
65,-1,6,38.3709
65,-1,7,39.5836
66,1,0,1.06567
66,1,1,5.40295
66,1,2,6.42629
66,1,3,12.9566
66,1,4,18.2925
66,1,5,23.6779
66,1,6,26.0829
66,1,7,29.5227
66,1,8,31.7988
66,1,9,32.5379
66,-1,0,6.7492
66,-1,1,7.5798
66,-1,2,11.6601
66,-1,3,28.8651
66,-1,4,29.8513
66,-1,5,35.3807
66,-1,6,38.3709
66,-1,7,39.5836
67,1,0,1.06567
67,1,1,5.40295
67,1,2,6.42629
67,1,3,12.9566
67,1,4,18.2925
67,1,5,23.6779
67,1,6,26.0829
67,1,7,29.5227
67,1,8,31.7988
67,1,9,32.5379
67,-1,0,6.7492
