tau,mean,std_err
35.85,0.211291,0.0512598
35.9,0.216994,0.0513641
35.95,0.222846,0.0514636
36,0.22885,0.0515553
36.05,0.235012,0.0516367
36.1,0.241342,0.0517046
36.15,0.247847,0.051756
36.2,0.254537,0.0517881
36.25,0.261423,0.051798
36.3,0.268516,0.0517834
36.35,0.275825,0.0517419
36.4,0.283362,0.0516718
36.45,0.291136,0.051572
36.5,0.299155,0.0514413
36.55,0.307426,0.0512795
36.6,0.315954,0.0510867
36.65,0.324744,0.0508634
36.7,0.333801,0.0506106
36.75,0.343127,0.0503299
36.8,0.352724,0.0500229
36.85,0.362592,0.0496918
36.9,0.372734,0.049339
36.95,0.383149,0.0489671
37,0.39384,0.048579
37.05,0.404809,0.0481772
37.1,0.416058,0.0477647
37.15,0.427592,0.047344
37.2,0.439412,0.0469174
37.25,0.451526,0.0464872
37.3,0.46394,0.046055
37.35,0.476658,0.0456225
37.4,0.489688,0.0451906
37.45,0.503037,0.04476
37.5,0.516711,0.0443311
37.55,0.530717,0.0439035
37.6,0.545062,0.043477
37.65,0.559752,0.0430507
37.7,0.574795,0.0426235
37.75,0.590196,0.0421941
37.8,0.60596,0.0417609
37.85,0.622094,0.041322
37.9,0.638602,0.0408758
37.95,0.655491,0.0404201
38,0.672766,0.0399528
38.05,0.690432,0.0394719
38.1,0.708498,0.0389753
38.15,0.726968,0.0384611
38.2,0.745851,0.0379272
38.25,0.765154,0.0373718
38.3,0.784883,0.0367932
38.35,0.805046,0.0361898
38.4,0.82565,0.0355602
38.45,0.846701,0.0349032
38.5,0.868204,0.0342176
38.55,0.890163,0.0335029
38.6,0.912579,0.0327585
38.65,0.935451,0.0319842
38.7,0.958774,0.0311803
38.75,0.982538,0.0303471
38.8,1.00673,0.0294858
38.85,1.03132,0.0285978
38.9,1.0563,0.0276849
38.95,1.08161,0.0267494
39,1.10721,0.0257945
39.05,1.13304,0.0248235
39.1,1.15904,0.0238408
39.15,1.18512,0.0228511
39.2,1.21118,0.02186
39.25,1.2371,0.0208738
39.3,1.26275,0.0198997
39.35,1.28798,0.0189456
39.4,1.31262,0.0180199
39.45,1.33649,0.0171318
39.5,1.35938,0.0162906
39.55,1.38108,0.0155055
39.6,1.40137,0.0147851
39.65,1.42,0.0141376
39.7,1.43674,0.0135694
39.75,1.45138,0.0130854
39.8,1.46369,0.0126886
39.85,1.47348,0.0123803
39.9,1.48061,0.0121608
39.95,1.48495,0.0120295
